Date,Open,High,Low,Close,Volume
2025-08-01,2994.1983151611034,3003.0047807939304,2935.488583681943,2938.424072265625,288012129683712053847
2025-08-08,2944.392964480288,3013.181055141491,2927.2692812506943,2971.105712890625,25192521927996148708125430762762140
2025-08-15,2971.1058502168585,3029.8154640054736,2954.1779420022144,2957.30908203125,1884215335823221481663342174
2025-08-22,2980.988718063058,3062.693270119804,2938.815435653507,2988.327392578125,29456092650784495235832307261593791
2025-08-29,3020.9112915939663,3094.0051794435944,3010.9306783780526,3018.3671875,3448370552209731160512271789
2025-09-05,3023.5531276055535,3087.1554035307527,2963.47367273015,2982.75,12468622185229179977414813912802055
2025-09-12,2984.413460841752,3080.991059765134,2951.144589474992,3066.02001953125,26261872489301207942822634461447167
2025-09-19,3066.6070389449774,3134.1234145595795,3029.4241839737238,3101.050048828125,17325392573429241827126331384901694
2025-09-26,3028.445731768582,3040.089740964508,2829.126226471788,2836.758544921875,36349013177741162571449743613934636
2025-10-03,2853.2947314486933,2866.3087778304835,2804.957413772581,2839.498046875,3110035225345819529022899519
2025-10-10,2839.5959635916415,3003.983173218589,2833.3336834873367,2963.179931640625,21127743062943412188932113048817365
2025-10-17,2961.908209472205,2970.2254277677166,2890.553079047838,2909.311767578125,28668653611416428222632514954374683
2025-10-24,2932.1958010354274,3042.687339125331,2925.320781572273,3008.508544921875,313303931064455647582684318
2025-10-31,3011.7496607245316,3038.9550474990237,2971.088871543434,3003.4013671875,19463123470737289542022415361868085
2025-11-07,2992.499451583931,3003.4013640895914,2907.6423366423182,2938.383544921875,2194877267072025427211830520
2025-11-14,2939.5619693268272,3080.4015151753365,2938.579823663838,3050.54443359375,15566562806868446031517404352210794
2025-11-21,3050.544457369475,3113.4016740052466,3023.0443122614724,3094.34814453125,22328532548350315105327007674177037
2025-11-28,3101.616062202543,3123.223169867727,3059.3838251197944,3081.48193359375,67037642737920250852728362331616690
2025-12-05,3081.8747335418534,3213.187842167148,3064.6872347092776,3180.384033203125,17476472512003395211250259055244013
2025-12-12,3185.0983021118977,3201.6964674714213,3096.8035846478047,3163.0,25447252734893138684919143621146554
2025-12-19,3153.7680172761306,3258.661033366418,3134.1252044928165,3223.402099609375,15621901734623137635023074223902511
2025-12-26,3250.9022578364156,3269.170263717588,3213.384197736604,3221.437744140625,2632816236542013677081176664
2026-01-02,3221.437683809396,3229.294848891858,3141.0982497161094,3192.660888671875,20794732807593336263412557351184324
2026-01-09,3182.642968809425,3241.6700055592964,3125.1873956711997,3150.52685546875,23417032912325198944241593361938673
2026-01-16,3145.8126491306843,3221.89990234375,3117.6251157476318,3206.699951171875,22283425645341353951104293470
2026-01-23,3188.0,3220.0,3082.0,3162.5,33875624499273201515022698272068857
2026-01-30,3175.0,3205.199951171875,3092.0,3123.89990234375,4279874275123424576413022068
